Annual CO2 emissions (per capita),Coal per capita (kWh),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Entity,Exports of goods and services (constant 2015 US$),GDP per capita growth (annual %),Gas per capita (kWh),Imports of goods and services (constant 2015 US$),Oil per capita (kWh),Population (historical estimates),Renewables(TWh_growth_equivalent),Year
6.295,14858.9677734375,1870627,China,,10.102832794189453,795.3916015625,,3809.50439453125,1368810604,329.151611328125,2010
6.9223,16084.765625,1874037,China,,8.953816413879395,981.93310546875,,3916.267822265625,1376497633,6.968994140625,2011
7.0623,16195.9150390625,1854111,China,,7.134523868560791,1089.993408203125,,4084.867431640625,1384206408,560.366943359375,2012
7.1506,16450.666015625,1845363,China,,7.050734043121338,1234.863037109375,,4244.2275390625,1391883335,252.469482421875,2013
7.1353,16371.5068359375,1844224,China,,6.750760078430176,1345.9759521484375,,4389.2236328125,1399453966,519.7685546875,2014
7.0003,15976.998046875,1848574,China,2362092814336,6.420736312866211,1383.8704833984375,2003257131008,4698.37255859375,1406847868,253.815673828125,2015
6.8742,15751.8173828125,1856583,China,,6.238215446472168,1481.14404296875,,4825.55859375,1414049353,330.7275390625,2016
6.9812,15747.7421875,1840441,China,,6.301863193511963,1697.7374267578125,,5054.9345703125,1421021794,368.09326171875,2017
7.2077,15770.544921875,1828243,China,,6.251700401306152,1988.7679443359375,,5277.67578125,1427647789,435.9326171875,2018
7.3163,15828.0791015625,1848274,China,,5.574532985687256,2150.790283203125,,5520.4814453125,1433783692,462.5673828125,2019
7.4117,15897.9208984375,,China,,2.116522789001465,2338.718017578125,,5547.36376953125,1439323774,435.3291015625,2020
,16573.73828125,,China,,,2622.14501953125,,5885.25732421875,1444216102,706.28955078125,2021
0.4178,943.6473999023438,,India,16578188288,4.2989821434021,16.21143913269043,17388570624,539.1152954101562,698952837,3.7636260986328125,1980
0.4407,1037.4027099609375,,India,16442755072,3.5712757110595703,27.65193748474121,19132542976,567.044677734375,715384997,10.76812744140625,1981
0.4448,1002.2732543945312,,India,17432692736,1.093955397605896,35.41814422607422,19793412096,577.2105102539062,732239498,-27.273162841796875,1982
0.4704,1039.522216796875,,India,17273198592,4.8280348777771,41.175018310546875,24144832512,592.9220581054688,749428958,-5.371002197265625,1983
0.4719,1067.1298828125,,India,18533769216,1.4643679857254028,46.08640670776367,20684863488,622.1260375976562,766833411,16.674911499023438,1984
0.5074,1093.11669921875,,India,17363378176,2.902381658554077,55.1128044128418,23554041856,659.9467163085938,784360012,-5.527801513671875,1985
0.5321,1148.7138671875,,India,18306623488,2.4751663208007812,75.31434631347656,27578005504,678.6487426757812,801975250,2.234649658203125,1986
