Entity,Year,SSTA
Southern Hemisphere,1986,0.11983
Southern Hemisphere,1987,0.27675
Southern Hemisphere,1988,0.22566
Southern Hemisphere,1989,0.16678
Southern Hemisphere,1990,0.24439
Southern Hemisphere,1991,0.25616
Southern Hemisphere,1992,0.18537
Southern Hemisphere,1993,0.23383
Southern Hemisphere,1994,0.18262
Southern Hemisphere,1995,0.22653
Southern Hemisphere,1996,0.22948
Southern Hemisphere,1997,0.37814
Southern Hemisphere,1998,0.47908
Southern Hemisphere,1999,0.24633
Southern Hemisphere,2000,0.23099
Southern Hemisphere,2001,0.35358
Southern Hemisphere,2002,0.40908
Southern Hemisphere,2003,0.38488
Southern Hemisphere,2004,0.33035
Southern Hemisphere,2005,0.34459
Southern Hemisphere,2006,0.33756
Southern Hemisphere,2007,0.26591
Southern Hemisphere,2008,0.24081
Southern Hemisphere,2009,0.4418
Southern Hemisphere,2010,0.42176
Southern Hemisphere,2011,0.3414
Southern Hemisphere,2012,0.37521
Southern Hemisphere,2013,0.38887
Southern Hemisphere,2014,0.44205
Southern Hemisphere,2015,0.55256
Southern Hemisphere,2016,0.59633
Southern Hemisphere,2017,0.52084
Southern Hemisphere,2018,0.50549
Southern Hemisphere,2019,0.58543
Southern Hemisphere,2020,0.50689
Tropics,1900,-0.04336
Tropics,1901,-0.24358
Tropics,1902,-0.33935
Tropics,1903,-0.48479
Tropics,1904,-0.68078
Tropics,1905,-0.34063
Tropics,1906,-0.36615
Tropics,1907,-0.46982
Tropics,1908,-0.61605
Tropics,1909,-0.5626
Tropics,1910,-0.54728
Tropics,1911,-0.58119
Tropics,1912,-0.31268
Tropics,1913,-0.39491
Tropics,1914,-0.25395
Tropics,1915,-0.11649
Tropics,1916,-0.49627
Tropics,1917,-0.56981
Tropics,1918,-0.4237
Tropics,1919,-0.30032
Tropics,1920,-0.3144
Tropics,1921,-0.27673
Tropics,1922,-0.37487
Tropics,1923,-0.2988
Tropics,1924,-0.27693
Tropics,1925,-0.24614
Tropics,1926,0.04348
Tropics,1927,-0.14542
Tropics,1928,-0.1986
Tropics,1929,-0.28749
Tropics,1930,-0.08475
Tropics,1931,0.07969
Tropics,1932,-0.17454
Tropics,1933,-0.26331
Tropics,1934,-0.26412
Tropics,1935,-0.20433
Tropics,1936,-0.13357
Tropics,1937,0.0003
Tropics,1938,-0.22907
Tropics,1939,-0.19015
Tropics,1940,0.14966
Tropics,1941,0.18326
Tropics,1942,-0.04279
Tropics,1943,-0.12386
Tropics,1944,0.12369
Tropics,1945,0.14594
Tropics,1946,-0.09453
Tropics,1947,-0.11286
Tropics,1948,-0.153
Tropics,1949,-0.21778
Tropics,1950,-0.30972
